timestamp,open,high,low,close,volume,quote_volume,taker_buy_quote_volume,num_trades
2026-02-16 06:49:00,1.4648,1.4662,1.4647,1.4661,284487.7,416896.52575,175029.40795,681
2026-02-16 06:50:00,1.4662,1.4662,1.4651,1.4652,114457.1,167772.97217,41273.90831,514
2026-02-16 06:51:00,1.4653,1.4662,1.4649,1.4661,285328.0,418153.41194,313913.24117,812
2026-02-16 06:52:00,1.4662,1.4676,1.4655,1.4669,398554.1,584646.86877,261743.48914,1001
2026-02-16 06:53:00,1.467,1.467,1.4648,1.465,192620.4,282291.39845,86301.98646,588
2026-02-16 06:54:00,1.4649,1.466,1.4649,1.4659,153606.8,225128.3062,164011.98987,464
2026-02-16 06:55:00,1.4659,1.4664,1.4654,1.4655,221251.2,324373.12616,157637.45123,676
2026-02-16 06:56:00,1.4654,1.4655,1.4636,1.4638,165526.0,242364.27241,65503.41607,683
2026-02-16 06:57:00,1.4638,1.465,1.4635,1.4644,251386.3,368130.28834,236310.5165,889
2026-02-16 06:58:00,1.4643,1.4658,1.4643,1.4645,179731.6,263292.29952,124512.49136,685
2026-02-16 06:59:00,1.4645,1.4649,1.4641,1.4642,118455.5,173471.43089,81181.15961,525
2026-02-16 07:00:00,1.4643,1.4647,1.463,1.4647,318477.0,466158.77044,152107.42693,998
2026-02-16 07:01:00,1.4646,1.4651,1.4643,1.4645,367542.4,538333.90123,190096.76805,922
2026-02-16 07:02:00,1.4645,1.4648,1.4608,1.4615,1027725.1,1502269.1532,526584.692,2266
2026-02-16 07:03:00,1.4615,1.462,1.4603,1.4604,322498.7,471090.40345,107454.23654,852
2026-02-16 07:04:00,1.4604,1.4623,1.4594,1.4623,526764.4,769435.76551,387237.51889,1564
2026-02-16 07:05:00,1.4622,1.4647,1.4618,1.4641,588447.4,861185.30669,516953.74527,1785
2026-02-16 07:06:00,1.4641,1.4642,1.4614,1.4623,202951.6,296843.18318,184736.75149,1055
2026-02-16 07:07:00,1.4623,1.4633,1.4622,1.4627,263765.7,385823.9869,218181.22674,894
2026-02-16 07:08:00,1.4626,1.4673,1.4619,1.467,2848399.9,4171755.55186,2717742.03745,3875
2026-02-16 07:09:00,1.4669,1.467,1.464,1.464,746468.0,1093647.45349,270614.93858,1359
2026-02-16 07:10:00,1.4639,1.4639,1.4629,1.463,208698.5,305389.12421,175943.82301,641
2026-02-16 07:11:00,1.463,1.4642,1.4626,1.464,285267.2,417419.42281,231583.09026,817
2026-02-16 07:12:00,1.4641,1.468,1.4639,1.468,475459.2,696962.65517,546169.44429,1700
2026-02-16 07:13:00,1.468,1.4688,1.4669,1.4687,637350.1,935570.23908,544353.26845,1612
2026-02-16 07:14:00,1.4688,1.4697,1.4667,1.4696,868656.7,1275230.28949,707933.14981,2014
2026-02-16 07:15:00,1.4696,1.4697,1.4677,1.4688,413408.0,607137.02726,303783.87926,1177
2026-02-16 07:16:00,1.4688,1.47,1.4685,1.4698,362261.7,532239.30685,299671.28426,1129
2026-02-16 07:17:00,1.4698,1.4703,1.4676,1.4681,401847.2,590406.00987,248283.22193,1226
2026-02-16 07:18:00,1.4682,1.4682,1.4667,1.4676,174254.1,255686.9231,133242.54162,873
2026-02-16 07:19:00,1.4675,1.4678,1.4662,1.4666,153578.7,225287.16634,134945.87523,640
2026-02-16 07:20:00,1.4667,1.4671,1.4651,1.4654,281244.2,412380.40442,149898.50747,956
2026-02-16 07:21:00,1.4655,1.4655,1.4647,1.4654,219936.9,322237.99515,138344.02563,728
2026-02-16 07:22:00,1.4654,1.4661,1.4646,1.4651,227502.6,333337.83315,129351.42022,908
2026-02-16 07:23:00,1.4652,1.4656,1.4643,1.4649,297615.7,435992.35189,132571.58655,781
2026-02-16 07:24:00,1.4649,1.4662,1.4648,1.4662,215700.4,316136.34509,141382.4018,672
2026-02-16 07:25:00,1.4661,1.4691,1.4661,1.469,626862.2,920055.00789,560611.85717,1667
2026-02-16 07:26:00,1.469,1.4694,1.4678,1.4678,299544.0,439824.24564,132065.47086,827
2026-02-16 07:27:00,1.4679,1.4679,1.4663,1.4664,206642.1,303099.0037,161042.89726,656
