timestamp,open,high,low,close,volume,quote_volume,taker_buy_quote_volume,num_trades
2025-03-02 09:00:00,6.1893,6.2952,6.184,6.2527,696007.7,4351166.93828,2370135.7912,24504
2025-03-02 10:00:00,6.2527,6.2724,6.2201,6.2239,363987.1,2272366.3359,1223721.06047,18918
2025-03-02 11:00:00,6.2238,6.2372,6.2079,6.2247,448052.6,2789029.41803,1323001.58505,16613
2025-03-02 12:00:00,6.2248,6.2473,6.1932,6.2409,724588.2,4505191.26245,2064698.9263,22288
2025-03-02 13:00:00,6.2408,6.2698,6.2077,6.2691,676791.8,4221796.93494,1867589.22417,23569
2025-03-02 14:00:00,6.2692,6.2696,6.1538,6.1907,906906.4,5625407.20687,2232134.31475,32325
2025-03-02 15:00:00,6.1908,6.464,6.1776,6.3015,3317391.0,21079425.19898,10597962.52841,116099
2025-03-02 16:00:00,6.3018,6.6977,6.2816,6.6548,3961151.0,25893079.62034,12719626.08366,144778
2025-03-02 17:00:00,6.6543,6.7554,6.5605,6.7144,2488893.2,16607970.80342,8285388.33104,83379
2025-03-02 18:00:00,6.7144,6.8071,6.6253,6.6415,1414942.8,9504508.61727,4105825.7415,61394
2025-03-02 19:00:00,6.6418,6.6911,6.5739,6.6512,1086890.2,7208823.68545,3713728.1663,39276
2025-03-02 20:00:00,6.6512,6.684,6.5762,6.6022,958112.0,6354167.27221,3171876.92863,38721
2025-03-02 21:00:00,6.6022,6.6924,6.5735,6.6861,473710.1,3145088.88677,1564754.19534,28812
2025-03-02 22:00:00,6.686,6.7255,6.6439,6.664,570579.5,3813519.71529,1767707.75511,22671
2025-03-02 23:00:00,6.6639,6.7553,6.6434,6.7548,627915.3,4203658.52925,2402129.5484,29582
2025-03-03 00:00:00,6.7548,6.7823,6.653,6.6672,956587.4,6421367.50526,2893629.7815,46710
2025-03-03 01:00:00,6.6675,6.6889,6.5349,6.5581,1036067.9,6827524.13996,2808503.2548,35230
2025-03-03 02:00:00,6.5584,6.5628,6.432,6.4561,954912.3,6195601.40015,3009365.17993,38128
2025-03-03 03:00:00,6.456,6.4665,6.3511,6.4044,698365.4,4470272.33314,2405717.15698,30941
2025-03-03 04:00:00,6.4045,6.422,6.3623,6.4156,378705.1,2420874.05737,1275930.07512,20191
2025-03-03 05:00:00,6.4157,6.4436,6.4004,6.4311,518564.7,3331617.31356,1677450.33192,21272
2025-03-03 06:00:00,6.4304,6.4321,6.1809,6.2402,1890475.3,11938736.71024,5605895.63863,56897
2025-03-03 07:00:00,6.2403,6.4301,6.1706,6.3959,2408211.1,15206905.11531,7098624.3365,69877
2025-03-03 08:00:00,6.3958,6.4082,6.2689,6.3182,1123205.0,7136002.19251,3224549.09926,50582
