timestamp,open,high,low,close,volume,quote_volume,taker_buy_quote_volume,num_trades
2025-03-02 09:00:00,2.8415,2.8942,2.8343,2.8729,7074647.6,20307510.41788,8918927.45511,58081
2025-03-02 10:00:00,2.8729,2.8954,2.8665,2.8774,4509500.8,12983435.56659,6186105.7935,46173
2025-03-02 11:00:00,2.8775,2.8857,2.8635,2.8761,3420970.5,9833090.88505,4890962.33853,39243
2025-03-02 12:00:00,2.8762,2.8774,2.8487,2.8645,4653819.0,13307395.04189,6848092.04733,42178
2025-03-02 13:00:00,2.8645,2.8646,2.8298,2.843,6278012.8,17845475.38368,9278884.34407,50036
2025-03-02 14:00:00,2.8428,2.8481,2.7937,2.7994,8211331.6,23114647.7522,11793630.29081,67645
2025-03-02 15:00:00,2.7995,3.0133,2.79,2.9401,49461873.8,145353673.37539,72164044.13971,330781
2025-03-02 16:00:00,2.9402,3.2242,2.9401,3.154,65080878.5,202225822.30912,105012288.7898,432177
2025-03-02 17:00:00,3.1539,3.2499,3.0798,3.1749,39870238.0,126318103.91587,61454896.23733,243068
2025-03-02 18:00:00,3.175,3.193,3.1002,3.13,21698664.7,68294897.9263,31277782.31153,163445
2025-03-02 19:00:00,3.1301,3.1966,3.1301,3.1917,9144459.7,28957736.60111,14788435.02129,81870
2025-03-02 20:00:00,3.1916,3.2252,3.1746,3.2099,10683350.1,34192611.55825,16687095.73669,85463
2025-03-02 21:00:00,3.2099,3.251,3.1921,3.2477,9001667.6,29036834.49478,15631739.13571,88425
2025-03-02 22:00:00,3.2476,3.2485,3.2088,3.2375,5302049.7,17113706.82387,8402876.61554,57954
2025-03-02 23:00:00,3.2374,3.2516,3.1909,3.1938,7947630.4,25567853.89019,12509778.36181,84731
2025-03-03 00:00:00,3.1939,3.2066,3.1541,3.1592,10834836.1,34401327.56792,14815993.93856,108001
2025-03-03 01:00:00,3.1593,3.1762,3.1178,3.1218,7476052.6,23467618.23571,11578886.01291,81322
