timestamp,open,high,low,close,volume,quote_volume,taker_buy_quote_volume,num_trades
2025-03-02 09:00:00,607.72,611.0,606.6,608.76,18645.39,11345549.3629,5828316.6281,30746
2025-03-02 10:00:00,608.76,610.0,607.81,608.86,10766.74,6553530.9239,3562421.7658,22995
2025-03-02 11:00:00,608.88,609.26,607.5,607.86,13617.93,8284032.2345,3938402.6917,24577
2025-03-02 12:00:00,607.87,608.5,605.85,608.38,13859.73,8414723.0505,3983260.7277,24896
2025-03-02 13:00:00,608.39,608.39,604.6,605.68,23433.99,14206851.6314,5443779.0791,30756
2025-03-02 14:00:00,605.68,605.99,601.41,603.15,28602.67,17260775.9894,7839623.3577,45902
2025-03-02 15:00:00,603.15,618.68,602.44,613.03,141050.83,86422438.0903,46924642.2455,181769
2025-03-02 16:00:00,613.05,631.8,612.04,626.44,208959.29,130305428.9618,70028178.7228,258054
2025-03-02 17:00:00,626.44,634.5,620.0,630.63,148106.31,93048460.4012,45665881.3299,176500
2025-03-02 18:00:00,630.62,632.32,623.5,627.64,63660.72,39979534.483,19601731.1258,91587
2025-03-02 19:00:00,627.64,628.26,624.08,625.33,29770.76,18629201.4762,8947358.2385,44243
2025-03-02 20:00:00,625.33,627.09,618.1,618.11,40759.54,25365998.3574,12025745.7976,58670
2025-03-02 21:00:00,618.11,620.52,615.26,620.17,46040.36,28443774.3489,15081513.5036,61671
2025-03-02 22:00:00,620.17,624.0,618.22,622.82,39134.68,24325755.2499,13339611.8593,47988
2025-03-02 23:00:00,622.8,625.5,621.6,623.53,37565.24,23410757.6265,13474923.5475,51333
2025-03-03 00:00:00,623.54,623.89,618.56,620.09,45771.12,28443978.1231,12081632.3591,62491
2025-03-03 01:00:00,620.1,622.54,615.0,615.01,42856.16,26529666.0175,12070198.8593,52666
2025-03-03 02:00:00,615.03,615.44,608.41,614.05,75275.91,46059662.2746,21453295.9625,72039
2025-03-03 03:00:00,614.04,614.97,607.38,611.05,38662.15,23620139.1338,8182865.9759,45236
2025-03-03 04:00:00,611.04,612.8,610.01,612.8,18677.65,11418434.9773,6055267.5178,29279
2025-03-03 05:00:00,612.8,613.62,610.61,611.55,14773.84,9046074.1851,4539550.4543,26504
2025-03-03 06:00:00,611.58,611.59,598.33,601.24,63601.49,38402295.7723,17463013.0681,73215
2025-03-03 07:00:00,601.25,607.94,597.14,607.1,51149.95,30843176.1848,15642378.2934,78869
2025-03-03 08:00:00,607.1,607.13,595.22,598.17,46800.62,28146040.5009,11627430.0876,66489
2025-03-03 09:00:00,598.18,600.83,595.91,599.62,43037.85,25755656.1434,12168960.6588,67117
2025-03-03 10:00:00,599.63,603.67,599.08,603.55,33751.11,20317122.6515,10347645.7346,47627
2025-03-03 11:00:00,603.54,604.39,601.83,602.78,20500.72,12367132.2037,5936802.388,34738
